"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: T-Bills Auction Result","17-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0060",". Treasury Bills' Weighted Average Yield 12-Months","22","Percent","Normal","","60","Treasury Bills' Weighted Average Yield 12-Months"
"Structure of Interest Rate: T-Bills Auction Result","03-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0010",". Treasury Bills' Cut-off Yield 3-Months","22","Percent","Normal","","10","Treasury Bills' Cut-off Yield 3-Months"
"Structure of Interest Rate: T-Bills Auction Result","03-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0020",". Treasury Bills' Cut-off Yield 6-Months","21.96","Percent","Normal","","20","Treasury Bills' Cut-off Yield 6-Months"
"Structure of Interest Rate: T-Bills Auction Result","03-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0030",". Treasury Bills' Cut-off Yield 12-Months","22","Percent","Normal","","30","Treasury Bills' Cut-off Yield 12-Months"
"Structure of Interest Rate: T-Bills Auction Result","03-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0040",". Treasury Bills' Weighted Average Yield 3-Months","21.99","Percent","Normal","","40","Treasury Bills' Weighted Average Yield 3-Months"
"Structure of Interest Rate: T-Bills Auction Result","03-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0050",". Treasury Bills' Weighted Average Yield 6-Months","21.96","Percent","Normal","","50","Treasury Bills' Weighted Average Yield 6-Months"
"Structure of Interest Rate: T-Bills Auction Result","03-May-2023","TS_GP_BAM_SIRTBIL_AH.TB0060",". Treasury Bills' Weighted Average Yield 12-Months","21.98","Percent","Normal","","60","Treasury Bills' Weighted Average Yield 12-Months"
"Structure of Interest Rate: T-Bills Auction Result","19-Apr-2023","TS_GP_BAM_SIRTBIL_AH.TB0010",". Treasury Bills' Cut-off Yield 3-Months","22","Percent","Normal","","10","Treasury Bills' Cut-off Yield 3-Months"
"Structure of Interest Rate: T-Bills Auction Result","19-Apr-2023","TS_GP_BAM_SIRTBIL_AH.TB0020",". Treasury Bills' Cut-off Yield 6-Months","21.98","Percent","Normal","","20","Treasury Bills' Cut-off Yield 6-Months"
"Structure of Interest Rate: T-Bills Auction Result","19-Apr-2023","TS_GP_BAM_SIRTBIL_AH.TB0030",". Treasury Bills' Cut-off Yield 12-Months","21.99","Percent","Normal","","30","Treasury Bills' Cut-off Yield 12-Months"
